image_path,class_name,class_id,sample_id
../Dataset/Wheat varieties dataset/Dilkash/D12/Dilkash (36).jpg,Dilkash,1,D12
../Dataset/Wheat varieties dataset/Dilkash/D12/Dilkash (34).jpg,Dilkash,1,D12
../Dataset/Wheat varieties dataset/Dilkash/D12/Dilkash (35).jpg,Dilkash,1,D12
../Dataset/Wheat varieties dataset/Dilkash/D15/Dilkash (45).jpg,Dilkash,1,D15
../Dataset/Wheat varieties dataset/Dilkash/D15/Dilkash (44).jpg,Dilkash,1,D15
../Dataset/Wheat varieties dataset/Dilkash/D15/Dilkash (43).jpg,Dilkash,1,D15
../Dataset/Wheat varieties dataset/Dilkash/D23/Dilkash (67).jpg,Dilkash,1,D23
../Dataset/Wheat varieties dataset/Dilkash/D23/Dilkash (69).jpg,Dilkash,1,D23
../Dataset/Wheat varieties dataset/Dilkash/D23/Dilkash (68).jpg,Dilkash,1,D23
../Dataset/Wheat varieties dataset/Dilkash/D104/Dilkash (311).jpg,Dilkash,1,D104
../Dataset/Wheat varieties dataset/Dilkash/D104/Dilkash (310).jpg,Dilkash,1,D104
../Dataset/Wheat varieties dataset/Dilkash/D104/Dilkash (312).jpg,Dilkash,1,D104
../Dataset/Wheat varieties dataset/Dilkash/D103/Dilkash (307).jpg,Dilkash,1,D103
../Dataset/Wheat varieties dataset/Dilkash/D103/Dilkash (309).jpg,Dilkash,1,D103
../Dataset/Wheat varieties dataset/Dilkash/D103/Dilkash (308).jpg,Dilkash,1,D103
../Dataset/Wheat varieties dataset/Dilkash/D24/Dilkash (71).jpg,Dilkash,1,D24
../Dataset/Wheat varieties dataset/Dilkash/D24/Dilkash (70).jpg,Dilkash,1,D24
../Dataset/Wheat varieties dataset/Dilkash/D24/Dilkash (72).jpg,Dilkash,1,D24
../Dataset/Wheat varieties dataset/Dilkash/D70/Dilkash (209).jpg,Dilkash,1,D70
../Dataset/Wheat varieties dataset/Dilkash/D70/Dilkash (208).jpg,Dilkash,1,D70
../Dataset/Wheat varieties dataset/Dilkash/D70/Dilkash (210).jpg,Dilkash,1,D70
../Dataset/Wheat varieties dataset/Dilkash/D84/Dilkash (252).jpg,Dilkash,1,D84
../Dataset/Wheat varieties dataset/Dilkash/D84/Dilkash (250).jpg,Dilkash,1,D84
../Dataset/Wheat varieties dataset/Dilkash/D84/Dilkash (251).jpg,Dilkash,1,D84
../Dataset/Wheat varieties dataset/Dilkash/D83/Dilkash (248).jpg,Dilkash,1,D83
../Dataset/Wheat varieties dataset/Dilkash/D83/Dilkash (249).jpg,Dilkash,1,D83
../Dataset/Wheat varieties dataset/Dilkash/D83/Dilkash (247).jpg,Dilkash,1,D83
